event_id,event_time,user_id,session_id,event_type,product_id,category,brand,price,device,traffic_source,country
45,2025-01-01 02:05:00,9922,S105531,view,318948,home.kitchen,Philips,9163.59,tablet,organic,USA
46,2025-01-01 02:07:32,9922,S105531,view,618081,home.kitchen,Prestige,18229.79,tablet,organic,USA
47,2025-01-01 02:14:00,3343,S107685,view,615984,electronics.laptop,Dell,57623.26,mobile,email,India
48,2025-01-01 02:16:14,3343,S107685,view,566166,sports.fitness,Decathlon,12905.14,mobile,email,India
49,2025-01-01 02:16:21,3343,S107685,view,542069,beauty.skincare,Loreal,1513.34,mobile,email,India
50,2025-01-01 02:25:00,6078,S109518,view,863765,electronics.audio,Noise,19319.16,mobile,organic,India
51,2025-01-01 02:28:00,8808,S103571,view,771976,sports.fitness,Cosco,23349.62,desktop,organic,UK
52,2025-01-01 02:28:22,8808,S103571,view,246456,fashion.mens_clothing,Nike,7670.23,desktop,organic,UK
53,2025-01-01 02:29:00,11338,S116268,view,647977,beauty.fragrance,Fogg,4726.39,mobile,organic,India
54,2025-01-01 02:29:46,11338,S116268,view,210269,electronics.smartphone,Samsung,80059.37,mobile,organic,India
55,2025-01-01 02:31:46,11338,S116268,view,708824,beauty.fragrance,Engage,4529.85,mobile,organic,India
56,2025-01-01 02:32:00,1567,S109501,view,523971,fashion.mens_clothing,Nike,7887.68,desktop,paid_search,India
57,2025-01-01 02:33:00,7671,S111488,view,289165,electronics.smartphone,Samsung,19253.48,mobile,paid_search,USA
58,2025-01-01 02:33:00,11338,S116268,add_to_cart,210269,electronics.smartphone,Samsung,80059.37,mobile,organic,India
59,2025-01-01 02:33:02,8808,S103571,view,100503,beauty.skincare,Loreal,2525.22,desktop,organic,UK
60,2025-01-01 02:34:00,6078,S109518,add_to_cart,863765,electronics.audio,Noise,19319.16,mobile,organic,India
61,2025-01-01 02:39:00,7671,S111488,add_to_cart,289165,electronics.smartphone,Samsung,19253.48,mobile,paid_search,USA
62,2025-01-01 02:40:00,8589,S114496,view,847264,beauty.fragrance,BellaVita,1997.48,mobile,organic,Brazil
63,2025-01-01 02:40:32,8589,S114496,view,245694,electronics.smartphone,Apple,73000.11,mobile,organic,Brazil
64,2025-01-01 02:43:00,8589,S114496,add_to_cart,873175,home.kitchen,Pigeon,22502.35,mobile,organic,Brazil
65,2025-01-01 02:43:32,8589,S114496,view,873175,home.kitchen,Pigeon,22502.35,mobile,organic,Brazil
66,2025-01-01 02:46:05,8589,S114496,view,269980,fashion.mens_clothing,Adidas,6184.76,mobile,organic,Brazil
67,2025-01-01 02:47:00,2390,S102446,view,688385,fashion.mens_clothing,Puma,2320.05,desktop,paid_search,India
68,2025-01-01 02:47:39,8589,S114496,view,735127,electronics.laptop,Asus,145246.26,mobile,organic,Brazil
69,2025-01-01 02:47:40,8589,S114496,view,144887,electronics.audio,Sony,8332.05,mobile,organic,Brazil
70,2025-01-01 02:48:00,11338,S116268,checkout,210269,electronics.smartphone,Samsung,80059.37,mobile,organic,India
71,2025-01-01 02:49:01,2390,S102446,view,178622,sports.fitness,Cosco,7943.52,desktop,paid_search,India
72,2025-01-01 02:49:12,2390,S102446,view,224291,sports.fitness,Nike,1236.81,desktop,paid_search,India
73,2025-01-01 02:50:00,8767,S107554,view,473178,electronics.audio,Noise,24383.66,mobile,organic,India
74,2025-01-01 02:50:00,8869,S114990,view,308864,beauty.fragrance,WildStone,885.75,mobile,direct,India
75,2025-01-01 02:52:30,2390,S102446,view,876121,beauty.fragrance,Yardley,4762.95,desktop,paid_search,India
76,2025-01-01 02:52:35,8767,S107554,view,805295,electronics.audio,Noise,17525.92,mobile,organic,India
77,2025-01-01 02:52:40,8869,S114990,view,894122,electronics.laptop,Asus,60036.38,mobile,direct,India
78,2025-01-01 02:53:58,8767,S107554,view,639694,electronics.smartphone,Apple,81799.15,mobile,organic,India
79,2025-01-01 02:57:21,8767,S107554,view,877485,electronics.audio,Noise,5231.45,mobile,organic,India
80,2025-01-01 02:58:00,9082,S101284,view,353819,electronics.audio,Sennheiser,18038.92,mobile,organic,India
81,2025-01-01 02:58:00,6598,S103222,view,557988,beauty.fragrance,WildStone,4930.65,desktop,paid_search,USA
82,2025-01-01 02:58:00,11949,S109495,view,638791,beauty.fragrance,BellaVita,4124.72,mobile,referral,Brazil
83,2025-01-01 02:59:00,8589,S114496,checkout,873175,home.kitchen,Pigeon,22502.35,mobile,organic,Brazil
84,2025-01-01 02:59:56,6598,S103222,view,274868,electronics.smartphone,Samsung,9874.24,desktop,paid_search,USA
85,2025-01-01 03:01:00,679,S112663,view,606369,sports.fitness,Adidas,18475.14,mobile,social,Brazil
86,2025-01-01 03:05:00,8589,S114496,purchase,873175,home.kitchen,Pigeon,22502.35,mobile,organic,Brazil
87,2025-01-01 03:08:00,8841,S101601,view,158084,fashion.womens_clothing,Zara,3313.24,mobile,direct,India
88,2025-01-01 03:08:53,8841,S101601,view,303484,fashion.shoes,Skechers,2375.3,mobile,direct,India
89,2025-01-01 03:12:00,483,S113552,view,564280,beauty.skincare,Loreal,4704.79,mobile,organic,Brazil
90,2025-01-01 03:12:36,483,S113552,view,283220,home.kitchen,Prestige,23946.36,mobile,organic,Brazil
91,2025-01-01 03:13:22,8841,S101601,view,143818,beauty.fragrance,Yardley,1490.17,mobile,direct,India
92,2025-01-01 03:14:00,11949,S109495,add_to_cart,638791,beauty.fragrance,BellaVita,4124.72,mobile,referral,Brazil
93,2025-01-01 03:14:24,483,S113552,view,246844,fashion.mens_clothing,Nike,2874.74,mobile,organic,Brazil
94,2025-01-01 03:15:00,11949,S109495,remove_from_cart,638791,beauty.fragrance,BellaVita,4124.72,mobile,referral,Brazil
95,2025-01-01 03:15:00,5509,S115076,view,104613,sports.fitness,Adidas,665.82,desktop,paid_search,USA
96,2025-01-01 03:15:00,11721,S115227,view,491933,sports.fitness,Cosco,19341.86,mobile,direct,USA
97,2025-01-01 03:16:33,483,S113552,view,409293,electronics.laptop,HP,116877.0,mobile,organic,Brazil
98,2025-01-01 03:16:56,483,S113552,view,936512,fashion.womens_clothing,Forever21,3191.43,mobile,organic,Brazil
99,2025-01-01 03:17:45,483,S113552,view,553068,beauty.skincare,Mamaearth,1304.11,mobile,organic,Brazil
100,2025-01-01 03:18:00,1904,S111664,view,253319,electronics.laptop,HP,116377.25,desktop,paid_search,USA
101,2025-01-01 03:20:00,6004,S109826,view,479346,beauty.fragrance,Yardley,5601.66,desktop,social,Germany
102,2025-01-01 03:20:22,1904,S111664,view,626350,home.furniture,Pepperfry,58983.48,desktop,paid_search,USA
103,2025-01-01 03:21:00,1904,S111664,view,798695,beauty.skincare,Loreal,2912.38,desktop,paid_search,USA
104,2025-01-01 03:21:00,4747,S115202,view,907944,toys.games,HotWheels,14487.1,mobile,paid_search,Brazil
105,2025-01-01 03:21:12,1904,S111664,view,349561,home.kitchen,Pigeon,22885.67,desktop,paid_search,USA
106,2025-01-01 03:23:00,1938,S101362,view,136008,fashion.mens_clothing,Adidas,3604.87,mobile,social,UK
107,2025-01-01 03:23:00,1904,S111664,view,989852,electronics.audio,Sony,7592.09,desktop,paid_search,USA
108,2025-01-01 03:23:00,11609,S112934,view,483015,beauty.skincare,Plum,436.67,mobile,organic,India
109,2025-01-01 03:23:41,4747,S115202,view,472257,sports.fitness,Adidas,10867.67,mobile,paid_search,Brazil
110,2025-01-01 03:25:00,1904,S111664,add_to_cart,798695,beauty.skincare,Loreal,2912.38,desktop,paid_search,USA
111,2025-01-01 03:25:46,11609,S112934,view,190170,home.kitchen,Bajaj,28859.02,mobile,organic,India
112,2025-01-01 03:25:52,1938,S101362,view,685675,electronics.smartphone,Xiaomi,36950.54,mobile,social,UK
113,2025-01-01 03:26:30,1938,S101362,view,691453,beauty.fragrance,Fogg,2058.96,mobile,social,UK
114,2025-01-01 03:26:36,11609,S112934,view,823167,toys.games,Lego,2686.15,mobile,organic,India
115,2025-01-01 03:26:38,1938,S101362,view,961441,home.kitchen,Havells,5729.16,mobile,social,UK
116,2025-01-01 03:26:42,11609,S112934,view,656749,toys.games,HotWheels,6883.81,mobile,organic,India
117,2025-01-01 03:27:36,11609,S112934,view,798584,beauty.skincare,Mamaearth,4692.67,mobile,organic,India
118,2025-01-01 03:28:00,11721,S115227,add_to_cart,491933,sports.fitness,Cosco,19341.86,mobile,direct,USA
119,2025-01-01 03:29:00,11172,S103819,view,904091,electronics.audio,Noise,11513.89,mobile,social,UK
120,2025-01-01 03:30:00,11868,S105498,view,986696,sports.fitness,Yonex,4822.38,mobile,paid_search,India
121,2025-01-01 03:30:39,11172,S103819,view,640825,toys.games,Lego,8532.0,mobile,social,UK
122,2025-01-01 03:30:40,1938,S101362,view,159588,sports.fitness,Yonex,5106.52,mobile,social,UK
123,2025-01-01 03:31:26,11172,S103819,view,144848,fashion.womens_clothing,Mango,4642.05,mobile,social,UK
124,2025-01-01 03:31:28,11868,S105498,view,771914,fashion.mens_clothing,Zara,6522.21,mobile,paid_search,India
125,2025-01-01 03:31:48,11868,S105498,view,393653,beauty.skincare,Cetaphil,2235.94,mobile,paid_search,India
126,2025-01-01 03:32:36,11868,S105498,view,559914,home.furniture,Wakefit,71699.7,mobile,paid_search,India
127,2025-01-01 03:33:00,1499,S108509,view,240149,beauty.fragrance,BellaVita,4798.84,desktop,social,India
128,2025-01-01 03:33:00,6004,S109826,add_to_cart,479346,beauty.fragrance,Yardley,5601.66,desktop,social,Germany
129,2025-01-01 03:33:46,1499,S108509,view,649619,fashion.shoes,Skechers,3009.51,desktop,social,India
130,2025-01-01 03:33:55,11868,S105498,view,666472,fashion.mens_clothing,Nike,4560.77,mobile,paid_search,India
131,2025-01-01 03:34:00,11721,S115227,checkout,491933,sports.fitness,Cosco,19341.86,mobile,direct,USA
132,2025-01-01 03:34:24,1938,S101362,view,198734,beauty.fragrance,Engage,2216.39,mobile,social,UK
133,2025-01-01 03:34:57,1499,S108509,view,164992,electronics.laptop,Lenovo,144622.23,desktop,social,India
134,2025-01-01 03:35:40,1499,S108509,view,840929,beauty.fragrance,Engage,5827.62,desktop,social,India
135,2025-01-01 03:37:10,11609,S112934,view,721684,fashion.mens_clothing,H&M,2215.48,mobile,organic,India
136,2025-01-01 03:38:51,11868,S105498,view,312387,electronics.audio,Noise,19833.95,mobile,paid_search,India
137,2025-01-01 03:41:00,6010,S116106,view,250201,fashion.womens_clothing,H&M,8824.54,mobile,organic,India
138,2025-01-01 03:42:34,6010,S116106,view,289278,sports.fitness,Cosco,14219.18,mobile,organic,India
139,2025-01-01 03:42:56,6010,S116106,view,602186,electronics.smartphone,Samsung,13848.51,mobile,organic,India
140,2025-01-01 03:43:00,10706,S102692,view,864360,beauty.fragrance,Engage,3789.66,mobile,social,India
141,2025-01-01 03:43:00,1904,S111664,checkout,798695,beauty.skincare,Loreal,2912.38,desktop,paid_search,USA
142,2025-01-01 03:43:35,6010,S116106,view,264046,electronics.audio,Boat,21341.8,mobile,organic,India
143,2025-01-01 03:43:41,10706,S102692,view,177857,electronics.smartphone,Samsung,8728.52,mobile,social,India
144,2025-01-01 03:44:00,11868,S105498,add_to_cart,986696,sports.fitness,Yonex,4822.38,mobile,paid_search,India
145,2025-01-01 03:44:00,10662,S109161,view,535007,beauty.skincare,Nivea,3775.67,mobile,organic,UK
146,2025-01-01 03:45:12,10662,S109161,view,697115,fashion.mens_clothing,Nike,667.51,mobile,organic,UK
147,2025-01-01 03:47:45,6010,S116106,view,984837,electronics.audio,Sony,17195.95,mobile,organic,India
148,2025-01-01 03:48:24,10706,S102692,view,270927,fashion.womens_clothing,Forever21,1603.21,mobile,social,India
149,2025-01-01 03:49:00,1212,S100345,view,103605,electronics.smartphone,Samsung,46662.99,desktop,social,India
150,2025-01-01 03:49:34,1212,S100345,view,977845,fashion.shoes,Reebok,5282.49,desktop,social,India
151,2025-01-01 03:49:48,10706,S102692,view,670317,toys.games,Mattel,8118.86,mobile,social,India
152,2025-01-01 03:52:48,6010,S116106,view,159349,sports.fitness,Decathlon,15389.5,mobile,organic,India
153,2025-01-01 04:02:00,11814,S108152,view,619889,electronics.smartphone,Samsung,54127.53,mobile,direct,India
154,2025-01-01 04:03:51,11814,S108152,view,750689,fashion.womens_clothing,Levis,5083.58,mobile,direct,India
155,2025-01-01 04:15:00,11536,S109013,view,284266,home.furniture,Wakefit,28904.11,mobile,email,India
156,2025-01-01 04:15:22,11536,S109013,view,677176,electronics.laptop,Lenovo,141286.11,mobile,email,India
157,2025-01-01 04:19:00,1914,S111649,view,231216,fashion.womens_clothing,Levis,2869.26,mobile,organic,India
158,2025-01-01 04:20:16,1914,S111649,view,936590,beauty.fragrance,Fogg,5420.76,mobile,organic,India
159,2025-01-01 04:21:12,1914,S111649,view,166049,home.furniture,Pepperfry,33544.01,mobile,organic,India
160,2025-01-01 04:21:30,1914,S111649,view,634228,fashion.mens_clothing,Puma,7029.71,mobile,organic,India
161,2025-01-01 04:23:57,1914,S111649,view,239647,fashion.shoes,Puma,6618.68,mobile,organic,India
162,2025-01-01 04:26:40,1914,S111649,view,519344,fashion.mens_clothing,Nike,5026.84,mobile,organic,India
163,2025-01-01 04:28:00,1205,S115466,view,326101,beauty.fragrance,WildStone,4219.04,mobile,organic,USA
164,2025-01-01 04:28:38,1205,S115466,view,370181,toys.games,Funskool,13079.68,mobile,organic,USA
165,2025-01-01 04:30:10,1205,S115466,view,677624,electronics.laptop,Lenovo,143350.61,mobile,organic,USA
166,2025-01-01 04:36:03,1205,S115466,view,957965,beauty.fragrance,Engage,3824.18,mobile,organic,USA
167,2025-01-01 04:45:00,1856,S112827,view,186261,beauty.skincare,Mamaearth,1892.79,desktop,paid_search,India
168,2025-01-01 04:50:00,11572,S102272,view,281750,beauty.skincare,Loreal,2631.96,mobile,social,USA
169,2025-01-01 04:56:00,8047,S101747,view,309387,fashion.mens_clothing,Adidas,808.89,desktop,social,Brazil
170,2025-01-01 04:56:00,3775,S115617,view,603493,beauty.skincare,Nivea,216.16,tablet,social,Brazil
171,2025-01-01 04:56:21,3775,S115617,view,328898,electronics.smartphone,Realme,38695.81,tablet,social,Brazil
172,2025-01-01 04:57:32,8047,S101747,view,248322,toys.games,HotWheels,1503.01,desktop,social,Brazil
173,2025-01-01 04:58:10,3775,S115617,view,937937,fashion.womens_clothing,Forever21,4243.62,tablet,social,Brazil
174,2025-01-01 05:00:40,3775,S115617,view,604858,fashion.shoes,Nike,4832.39,tablet,social,Brazil
175,2025-01-01 05:00:42,3775,S115617,view,752687,fashion.shoes,Nike,3367.8,tablet,social,Brazil
176,2025-01-01 05:23:00,6936,S117519,view,939112,electronics.smartphone,Xiaomi,78677.09,desktop,email,India
177,2025-01-01 05:42:00,4756,S116938,view,270556,electronics.laptop,HP,106748.49,desktop,organic,UK
178,2025-01-01 05:44:00,6301,S112351,view,104230,toys.games,Mattel,8911.57,mobile,social,Germany
179,2025-01-01 05:44:00,3582,S112469,view,394837,toys.games,Hasbro,12181.32,tablet,social,USA
180,2025-01-01 05:45:00,7877,S112166,view,403373,electronics.laptop,Asus,28550.48,desktop,social,India
181,2025-01-01 05:45:42,3582,S112469,view,333379,fashion.shoes,Adidas,2219.04,tablet,social,USA
182,2025-01-01 05:46:55,7877,S112166,view,662553,fashion.mens_clothing,H&M,7894.18,desktop,social,India
183,2025-01-01 05:47:00,1903,S109324,view,678474,fashion.womens_clothing,Mango,1964.13,mobile,social,Germany
184,2025-01-01 05:47:44,1903,S109324,view,322159,beauty.fragrance,Fogg,298.18,mobile,social,Germany
185,2025-01-01 05:49:28,3582,S112469,view,624479,fashion.shoes,Adidas,12177.85,tablet,social,USA
186,2025-01-01 05:54:00,8551,S113734,view,847342,electronics.laptop,HP,124189.35,mobile,email,India
187,2025-01-01 05:56:20,8551,S113734,view,741215,fashion.mens_clothing,Puma,3812.63,mobile,email,India
188,2025-01-01 05:56:56,8551,S113734,view,852909,toys.games,HotWheels,13228.0,mobile,email,India
189,2025-01-01 05:58:00,1383,S105945,view,933201,electronics.laptop,Asus,58864.08,mobile,social,India
190,2025-01-01 05:58:10,8551,S113734,view,112337,sports.fitness,Adidas,19656.34,mobile,email,India
191,2025-01-01 05:59:57,1383,S105945,view,478375,electronics.smartphone,Realme,62925.59,mobile,social,India
192,2025-01-01 06:00:00,7877,S112166,add_to_cart,662553,fashion.mens_clothing,H&M,7894.18,desktop,social,India
193,2025-01-01 06:00:00,138,S116248,view,700450,beauty.fragrance,BellaVita,308.19,mobile,organic,USA
194,2025-01-01 06:00:09,8551,S113734,view,992725,home.kitchen,Prestige,9185.46,mobile,email,India
195,2025-01-01 06:00:38,138,S116248,view,555795,home.furniture,Nilkamal,6865.8,mobile,organic,USA
196,2025-01-01 06:02:36,138,S116248,view,985853,fashion.womens_clothing,Zara,2947.25,mobile,organic,USA
197,2025-01-01 06:05:00,10769,S117111,view,844342,sports.fitness,Decathlon,10848.23,desktop,referral,India
198,2025-01-01 06:06:00,7877,S112166,checkout,662553,fashion.mens_clothing,H&M,7894.18,desktop,social,India
199,2025-01-01 06:07:14,10769,S117111,view,171936,electronics.laptop,HP,63482.25,desktop,referral,India
200,2025-01-01 06:07:35,10769,S117111,view,404060,fashion.mens_clothing,H&M,7310.69,desktop,referral,India
201,2025-01-01 06:07:44,10769,S117111,view,528006,sports.fitness,Cosco,15504.65,desktop,referral,India
202,2025-01-01 06:11:06,10769,S117111,view,356347,electronics.audio,Sennheiser,14358.87,desktop,referral,India
203,2025-01-01 06:11:40,10769,S117111,view,420329,sports.fitness,Decathlon,23043.28,desktop,referral,India
204,2025-01-01 06:14:00,10114,S104801,view,377777,electronics.audio,Noise,17831.84,mobile,paid_search,Brazil
205,2025-01-01 06:15:00,6536,S116932,view,262143,home.kitchen,Bajaj,4133.12,mobile,direct,India
206,2025-01-01 06:17:00,10742,S104725,view,563012,home.kitchen,Pigeon,27829.36,mobile,email,India
207,2025-01-01 06:19:00,8218,S105254,view,322996,home.kitchen,Pigeon,25551.78,mobile,organic,India
208,2025-01-01 06:19:25,10742,S104725,view,872309,toys.games,Lego,3093.52,mobile,email,India
209,2025-01-01 06:20:38,8218,S105254,view,856300,beauty.fragrance,Fogg,2979.96,mobile,organic,India
210,2025-01-01 06:21:26,8218,S105254,view,777125,home.furniture,Ikea,27569.34,mobile,organic,India
211,2025-01-01 06:25:08,8218,S105254,view,523701,electronics.audio,Sennheiser,15461.94,mobile,organic,India
212,2025-01-01 06:27:00,8218,S105254,view,370745,toys.games,Funskool,7968.8,mobile,organic,India
213,2025-01-01 06:28:10,8218,S105254,view,859721,fashion.womens_clothing,Mango,8212.27,mobile,organic,India
214,2025-01-01 06:29:00,7951,S105892,view,436804,fashion.womens_clothing,Forever21,5351.2,mobile,organic,UK
215,2025-01-01 06:30:00,8218,S105254,add_to_cart,322996,home.kitchen,Pigeon,25551.78,mobile,organic,India
216,2025-01-01 06:31:00,7951,S105892,add_to_cart,436804,fashion.womens_clothing,Forever21,5351.2,mobile,organic,UK
217,2025-01-01 06:31:56,7951,S105892,view,270908,beauty.fragrance,Yardley,5124.89,mobile,organic,UK
218,2025-01-01 06:34:00,10742,S104725,add_to_cart,563012,home.kitchen,Pigeon,27829.36,mobile,email,India
219,2025-01-01 06:43:00,10742,S104725,checkout,563012,home.kitchen,Pigeon,27829.36,mobile,email,India
220,2025-01-01 06:45:00,9084,S110698,view,471042,electronics.audio,JBL,3481.48,mobile,organic,India
221,2025-01-01 06:47:28,9084,S110698,view,405451,toys.games,Funskool,8896.08,mobile,organic,India
222,2025-01-01 06:49:22,9084,S110698,view,771981,home.furniture,Ikea,11364.34,mobile,organic,India
223,2025-01-01 06:58:00,9084,S110698,add_to_cart,471042,electronics.audio,JBL,3481.48,mobile,organic,India
224,2025-01-01 07:18:00,7507,S116599,view,750414,sports.fitness,Yonex,9671.57,mobile,direct,India
225,2025-01-01 07:19:07,7507,S116599,view,787458,electronics.laptop,Asus,32905.65,mobile,direct,India
226,2025-01-01 07:21:00,1120,S110210,view,318119,fashion.womens_clothing,H&M,8176.44,mobile,social,India
227,2025-01-01 07:22:08,1120,S110210,view,930503,toys.games,Funskool,2799.56,mobile,social,India
228,2025-01-01 07:23:00,7803,S108345,view,686465,fashion.womens_clothing,H&M,3693.74,mobile,social,UK
229,2025-01-01 07:23:00,1120,S110210,add_to_cart,318119,fashion.womens_clothing,H&M,8176.44,mobile,social,India
230,2025-01-01 07:23:46,7803,S108345,view,514643,toys.games,Funskool,3704.06,mobile,social,UK
231,2025-01-01 07:23:54,1120,S110210,view,736031,beauty.fragrance,WildStone,5678.73,mobile,social,India
232,2025-01-01 07:24:18,7803,S108345,view,517301,home.kitchen,Havells,8867.81,mobile,social,UK
233,2025-01-01 07:24:52,7803,S108345,view,683075,fashion.womens_clothing,Forever21,481.68,mobile,social,UK
234,2025-01-01 07:26:03,7803,S108345,view,865676,home.kitchen,Prestige,13038.45,mobile,social,UK
235,2025-01-01 07:30:00,7548,S110155,view,928571,beauty.fragrance,Engage,1274.0,desktop,paid_search,India
236,2025-01-01 07:31:00,7803,S108345,add_to_cart,514643,toys.games,Funskool,3704.06,mobile,social,UK
237,2025-01-01 07:34:00,7548,S110155,add_to_cart,928571,beauty.fragrance,Engage,1274.0,desktop,paid_search,India
238,2025-01-01 07:36:00,950,S110780,view,585537,electronics.smartphone,Apple,66636.04,tablet,direct,USA
239,2025-01-01 07:36:26,950,S110780,view,722605,home.kitchen,Philips,482.33,tablet,direct,USA
240,2025-01-01 07:41:00,5584,S105074,view,506674,electronics.smartphone,Apple,36941.78,mobile,social,Brazil
241,2025-01-01 07:41:00,950,S110780,add_to_cart,722605,home.kitchen,Philips,482.33,tablet,direct,USA
242,2025-01-01 07:41:37,5584,S105074,view,184739,electronics.smartphone,Samsung,46787.01,mobile,social,Brazil
243,2025-01-01 07:45:00,337,S105859,view,359341,home.kitchen,Havells,16519.27,mobile,paid_search,Brazil
244,2025-01-01 07:46:18,5584,S105074,view,553498,fashion.womens_clothing,Forever21,4859.35,mobile,social,Brazil
245,2025-01-01 07:46:44,337,S105859,view,261518,electronics.audio,Boat,3693.02,mobile,paid_search,Brazil
246,2025-01-01 07:47:00,7548,S110155,checkout,928571,beauty.fragrance,Engage,1274.0,desktop,paid_search,India
247,2025-01-01 07:48:00,7332,S104497,view,321741,fashion.womens_clothing,Mango,665.34,desktop,organic,UK
248,2025-01-01 07:48:00,7548,S110155,purchase,928571,beauty.fragrance,Engage,1274.0,desktop,paid_search,India
249,2025-01-01 07:49:00,2555,S115783,view,389843,beauty.skincare,Nivea,4623.46,desktop,email,Brazil
250,2025-01-01 07:49:38,337,S105859,view,582067,beauty.skincare,Mamaearth,4047.82,mobile,paid_search,Brazil
